Ticker,Company_Name
MMM,3M
BKNG,Booking Holdings Inc
ABT,ABBOTT LABORATORIES
ABBV,ABBVIE INC
ACN,ACCENTURE
ADBE,ADOBE SYSTEMS
AGN,ALLERGAN
MO,ALTRIA
AMZN,AMAZON.COM
AXP,AMERICAN EXPRESS
AIG,AMERICAN INTL
AMGN,AMGEN
AAPL,APPLE
T,AT&T
BAC,BANK of AMERICA
BK,BANK of NEW YORK MELLON
BRK.B,BERKSHIRE HATHAWAY
BIIB,BIOGEN INDEC
BLK,BLACKROCK
BMY,BRISTOL-MYERS SQUIBB
COF,CAPITAL ONE FINANCIAL
CAT,CATERPILLAR
CELG,CELGENE
CHTR,CHARTER COMMUNICATIONS
CVX,CHEVRON
CSCO,CISCO SYSTEMS
C,CITIGROUP
CL,COLGATE-PALMOLIVE
CMCSA,COMCAST
COP,CONOCOPHILLIPS
COST,COSTCO WHOLESALE
CVS,CVS CAREMARK
DHR,DANAHER
DUK,DUKE ENERGY
LLY,ELI LILLY
EMR,EMERSON ELECTRIC
EXC,EXELON
XOM,EXXON MOBIL
FB,"Facebook, Inc."
FDX,FEDEX
F,FORD MOTOR
GD,GENERAL DYNAMICS
GE,GENERAL ELECTRIC
GM,GENERAL MOTORS
GILD,GILEAD SCIENCES
GOOG,GOOGLE
GOOGL,Google Inc.
HD,HOME DEPOT
HON,HONEYWELL INTL
INTC,INTEL
IBM,INTL BUSINESS MACHINE
JNJ,JOHNSON & JOHNSON
JPM,JP MORGAN CHASE
KMI,KINDER MORGAN
LMT,LOCKHEED MARTIN
LOW,LOWES COMPANIES
MA,MASTERCARD
MCD,MCDONALDS
MDT,MEDTRONIC
MRK,MERCK
MET,METLIFE
MSFT,MICROSOFT
MDLZ,MONDELEZ INTERNATIONAL INC
MS,MORGAN STANLEY
NFLX,NETFLIX
NEE,NEXTERA ENERGY
NKE,NIKE
NVDA,NVIDIA
OXY,OCCIDENTAL PETROLEUM
ORCL,ORACLE
PYPL,"PayPal Holdings, Inc."
PEP,PEPSICO
PFE,PFIZER
PM,PHILIP MORRIS
PG,PROCTER & GAMBLE
QCOM,QUALCOMM
RTN,RAYTHEON
SLB,SCHLUMBERGER
SPG,SIMON PROPERTY GROUP
SO,SOUTHERN
SBUX,STARBUCKS
TGT,TARGET
TXN,TEXAS INSTRUMENTS
ALL,THE ALLSTATE
BA,THE BOEING
KO,THE COCA-COLA
DOW,THE DOW CHEMICAL
GS,THE GOLDMAN SACHS GROUP
KHC,The Kraft Heinz Company
UNP,UNION PACIFIC
UPS,UNITED PARCEL SERVICE
UTX,UNITED TECHNOLOGIES
UNH,UNITEDHEALTH GROUP
USB,US BANCORP
VZ,VERIZON COMMUNICATIONS
V,VISA
WMT,WAL-MART STORES
WBA,"Walgreens Boots Alliance, Inc."
DIS,WALT DISNEY
WFC,WELLS FARGO
